Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Big Mummy,tvui,movieDetails,,,2022-01-04 17:34:00
Big Mummy,tvui,profilesGate,,,2022-01-04 17:34:00
Big Mummy,tvui,playback,,,2022-01-04 17:03:58
Big Mummy,tvui,movieDetails,,,2022-01-04 17:03:58
Big Mummy,tvui,movieDetails,,,2022-01-04 16:03:11
Big Mummy,tvui,playback,,,2022-01-04 16:03:11
Big Mummy,tvui,search,,,2022-01-04 16:03:09
Big Mummy,tvui,movieDetails,,,2022-01-04 16:03:08
Big Mummy,tvui,browseTitles,,,2022-01-04 16:02:24
Big Mummy,tvui,search,,,2022-01-04 16:02:24
Big Mummy,tvui,profilesGate,,,2022-01-04 16:01:17
Big Mummy,tvui,browseTitles,,,2022-01-04 16:01:17
Big Mummy,tvui,profilesGate,,,2022-01-04 16:01:15
Big Mummy,tvui,movieDetails,,,2022-01-04 13:04:54
Big Mummy,tvui,profilesGate,,,2022-01-04 13:04:54
Big Mummy,tvui,movieDetails,,,2022-01-04 12:34:54
Big Mummy,tvui,playback,,,2022-01-04 12:34:54
Big Mummy,tvui,movieDetails,,,2022-01-04 12:04:16
Big Mummy,tvui,playback,,,2022-01-04 12:04:16
Big Mummy,tvui,browseTitles,,,2022-01-04 12:04:14
Big Mummy,tvui,movieDetails,,,2022-01-04 12:04:14
Big Mummy,tvui,profilesGate,,,2022-01-04 12:04:04
Big Mummy,tvui,browseTitles,,,2022-01-04 12:04:04
Big Mummy,tvui,profilesGate,,,2022-01-04 12:03:03
Big Mummy,tvui,browseTitles,,,2022-01-04 09:34:14
Big Mummy,tvui,profilesGate,,,2022-01-04 09:34:14
Big Mummy,tvui,playback,,,2022-01-04 09:04:10
Big Mummy,tvui,browseTitles,,,2022-01-04 09:04:10
Big Mummy,tvui,browseTitles,,,2022-01-04 09:04:01
Big Mummy,tvui,playback,,,2022-01-04 09:04:01
Big Mummy,tvui,movieDetails,,,2022-01-04 09:01:06
Big Mummy,tvui,browseTitles,,,2022-01-04 09:01:06
