Profile Name,Title Name,Rating Type,Star Value,Thumbs Value,Device Model,Event Utc Ts,Region View Date
Big Mummy,The Girl from Oslo,thumb,,2,Streaming Stick,2022-01-03 12:29:25,
Big Mummy,Innocent,thumb,,2,Apple TV,2021-02-03 08:47:26,
Big Mummy,20 Minutes,thumb,,2,Android Phone,2021-01-27 09:48:31,
Big Mummy,When Calls the Heart,thumb,,2,Android Phone,2021-01-27 09:48:24,
Big Mummy,The General's Daughter,thumb,,2,Android Phone,2021-01-27 09:48:21,
Big Mummy,Tribhanga - Tedhi Medhi Crazy,thumb,,2,Android Phone,2021-01-27 09:48:13,
Big Mummy,Resurrection: Ertugrul,thumb,,1,Android Phone,2021-01-27 08:16:18,
Big Mummy,Virgin River,thumb,,2,Android Phone,2021-01-24 03:04:34,
Big Mummy,Winter Sun,thumb,,2,Android Phone,2021-01-10 08:20:37,
Big Mummy,Bridgerton,thumb,,2,Android Phone,2021-01-09 09:54:52,
Big Mummy,The Judge,thumb,,2,Android Phone,2021-01-04 07:35:06,
Big Mummy,The Guns of Navarone,thumb,,2,Streaming Stick,2020-12-23 11:32:45,
Big Mummy,Black Money Love,thumb,,2,Android Phone,2020-12-13 19:31:43,
Big Mummy,22 July,thumb,,2,Smart TV,2018-10-30 09:33:40,
Big Mummy,Pretty Little Liars,thumb,,2,Apple TV,2018-07-19 11:33:14,
Big Mummy,The Day Will Come,thumb,,2,Smart TV,2018-01-22 16:56:39,
Jania,The Witcher,thumb,,2,HTML 5,2021-12-13 17:16:21,
Jania,Night Teeth,thumb,,2,HTML 5,2021-10-24 08:42:19,
Jania,Dynasty,thumb,,0,HTML 5,2021-09-21 07:49:58,
Jania,The Real Housewives of Beverly Hills,thumb,,1,iPhone,2021-08-31 17:30:53,
Jania,You Me Her,thumb,,2,HTML 5,2021-08-25 15:48:22,
Jania,Keeping Up with the Kardashians,thumb,,0,HTML 5,2021-08-19 04:46:34,
Jania,Good Girls,thumb,,2,HTML 5,2021-07-23 06:02:53,
Jania,Sex Education,thumb,,2,iPhone,2021-07-14 18:35:40,
