Esn,Country,Region Code,Device Description,Ip,Ts
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,DL,Apple Apple TV 4 Apple TV,182.64.49.27,2021-03-20 01:52:36
NFCDFF-LX-GK8LLJWYUX7QDVR125FTUDLU65UE97,IN,DL,Firefox - Linux,122.161.145.141,2021-05-08 06:35:01
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,DL,Apple Apple TV 4 Apple TV,122.176.198.203,2021-09-11 16:48:20
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,DL,Apple Apple TV 4 Apple TV,122.176.198.203,2021-09-18 04:39:34
NFCDFF-LX-H9DDQDMM2X8RC47K5VXPPQ3Y88W6T0,IN,DL,Firefox - Linux,122.161.145.141,2021-05-08 06:45:44
NFANDROID1-PRV-T-L3-AMAZOKFMUWI-4445-0B851328C6C89DE417134380DD647EB1E831DEA0316A069384F4F8FD557DCDA2A,IN,HR,Android DefaultWidevineL3Tablet Android Tablet,106.214.45.105,2021-10-05 12:58:10
NFCDFF-LX-H9QXDJJR7G1R8MXD4N4PL762VLV3HU,IN,HR,Firefox - Linux,122.161.145.141,2021-05-12 15:35:03
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,DL,Apple Apple TV 4 Apple TV,122.176.198.203,2021-09-19 04:13:15
NFAPPL-02-IPHONE12=1-6C0BAABB7A68B6577F2B099D546FD072612A08719232188F39EADB5F2BEE37B7,SG,01,Apple iPhone 11,68.183.236.159,2021-07-23 17:49:59
NFCDSF-PH-HX11MT1PT49F1XY8042FLP1EJPAE77,IN,HR,iPhone,223.190.94.224,2022-01-01 16:53:00
NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,IN,HR,Apple iPhone 8 (CDMA),122.162.172.112,2021-05-31 18:54:47
NFANDROID1-PRV-P-L3-SAMSUSM-M115F-8158-07AAFCCF9A1EE688C7B84323B9BA7CD621794DE84DA881A2DF3EF3BD209D13359,IN,GJ,Android DefaultWidevineL3Phone Android Phone,103.86.19.252,2021-08-04 07:23:33
NFCDSF-PH-HX11MT1PT49F1XY8042FLP1EJPAE77,IN,HR,iPhone,223.190.94.224,2022-01-01 16:53:16
NFANDROID1-PRV-P-SAMSUSM-A528B-23364-0E0BBE361ED63F80B0F300BA684CE1492E0D4702005CD99113D6DB4FD02FA2E8E,IN,HR,DefaultWidevineAndroidPhone,223.190.94.224,2022-01-01 08:26:04
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,DL,Apple Apple TV 4 Apple TV,122.176.198.203,2021-09-19 04:06:34
NFCDFF-02-HA2GGENUPV53DE583L208VM8ALATD7,IN,HR,Firefox - Windows,182.68.124.205,2021-05-16 15:44:54
WWW-BROWSE-HGEZ84CG1J5CPXM5EGX1VT28G9X6YV,IN,HR,iPhone,223.182.68.139,2021-07-20 16:43:04
NFCDFF-LX-H9WWCMH8TM6MKK16710CUNUGVX704D,IN,DL,Firefox - Linux,2401:4900:445f:43fb:a6c1:f0c0:198f:d6ec,2021-05-14 12:48:02
NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,IN,HR,Edge - Windows,110.227.158.142,2021-04-12 05:49:41
NFCDSF-PH-HX10QXCRNL3A8YV68Q06DY0VDANU16,IN,HR,iPhone,223.190.94.224,2022-01-01 16:47:10
NFCDFF-LX-H9DDM1PW2J1Y180CAE1EF9YC1LG2XU,IN,DL,Firefox - Linux,122.161.145.141,2021-05-08 06:41:30
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,DL,Apple Apple TV 4 Apple TV,122.176.198.203,2021-09-11 16:49:16
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,DL,Apple Apple TV 4 Apple TV,122.176.198.203,2021-09-18 04:40:12
NFAPPL-02-IPHONE14=2-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,IN,PB,Apple iPhone 13 Pro,223.178.209.1,2021-10-16 06:14:30
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,HR,Apple Apple TV 4 Apple TV,223.190.89.15,2021-10-24 15:38:07
NFCDFF-LX-H9DDL4GXY08PKKL155HR1GCCANMA7T,IN,DL,Firefox - Linux,122.161.145.141,2021-05-08 06:40:36
NFCDFF-LX-H9N10AV1AARJ9XMLLK9F2MLWTWU5AJ,IN,HR,Firefox - Linux,122.161.145.141,2021-05-11 13:21:22
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,DL,Apple Apple TV 4 Apple TV,171.79.74.144,2021-05-14 08:24:22
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,DL,Apple Apple TV 4 Apple TV,122.176.198.203,2021-09-19 04:00:36
NFAPPL-02-IPHONE12=1-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,IN,TG,Apple iPhone 11,49.205.121.1,2021-08-31 18:14:51
NFAPPL-02-IPHONE12=1-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,IN,TG,Apple iPhone 11,49.205.121.1,2021-08-31 18:14:46
