Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Big Mummy,2021-12-30 08:02:23,PUSH_SEASONAL,PUSH,IN,en-GB,en-GB,,SURESHTKUMAR.COM,,,samsung_SM-M115F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,0
Big Mummy,2021-12-30 08:02:22,INAPP_SEASONAL,NOTIFICATIONS,IN,,,,SURESHTKUMAR.COM,,,,0
Big Mummy,2021-12-18 06:30:15,PUSH_NEW_ARRIVALS,PUSH,IN,en-GB,en-GB,Decoupled,SURESHTKUMAR.COM,,,samsung_SM-M115F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,0
Big Mummy,2021-12-17 10:13:16,INAPP_NEW_ARRIVALS,NOTIFICATIONS,IN,,,Decoupled,SURESHTKUMAR.COM,,,,0
Big Mummy,2021-12-11 06:34:18,PUSH_NEW_ARRIVALS,PUSH,IN,en-GB,en-GB,Aranyak,SURESHTKUMAR.COM,,,samsung_SM-M115F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,0
Big Mummy,2021-12-11 06:34:17,INAPP_NEW_ARRIVALS,NOTIFICATIONS,IN,,,Aranyak,SURESHTKUMAR.COM,,,,0
Big Mummy,2021-12-08 10:53:15,PUSH_ORIGINALS_PREPROMOTE,PUSH,IN,en-GB,en-GB,Aranyak,SURESHTKUMAR.COM,,,samsung_SM-M115F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,0
Big Mummy,2021-12-08 10:37:23,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,IN,,,Aranyak,SURESHTKUMAR.COM,,,samsung_SM-M115F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,0
Big Mummy,2021-12-05 11:30:35,PUSH_NEW_ARRIVALS,PUSH,IN,en-GB,en-GB,14 Peaks: Nothing Is Impossible,SURESHTKUMAR.COM,,,samsung_SM-M115F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,0
Big Mummy,2021-12-05 11:30:29,INAPP_NEW_ARRIVALS,NOTIFICATIONS,IN,,,14 Peaks: Nothing Is Impossible,SURESHTKUMAR.COM,,,,0
